============= No.1 test case ===============
true
latency:  395326168133 191578804 6306647 6332296
weights: [0.5076113740283862 100 138.36916407008448 161.12322455588705]
latency:  311862929365 655163431 6429483 6453519
weights: [0.4822308053269668 100 138.3945446387859 161.12322455588705]
latency:  400623219665 353264879 6501808 6560545
weights: [0.45811926506061845 100 138.41865617905225 161.12322455588705]
latency:  410256287401 81859888 5840461 6963885
weights: [0.4352133018075875 100 138.4415621423053 161.12322455588705]
latency:  432906851155 64630651 6860763 6833605
weights: [0.4134526367172081 100 138.4415621423053 161.14498522097742]
latency:  423316825459 123782560 6340780 5979293
weights: [0.3927800048813477 100 138.4415621423053 161.16565785281327]
latency:  517801745283 139681703 6295843 6443875
weights: [0.3731410046372803 100 138.46120114254936 161.16565785281327]
### Client side ###
Average letency is 2m19.31110411s, errRate is 0.0%
### Balancer side ###
Hint 10.108.18.57:8080 server 99956 times
Average letency is 9m17.254910291s, errRate is 0.0%
Hint 10.108.18.57:8081 server 100310 times
Average letency is 213.984763ms, errRate is 0.0%
Hint 10.108.18.134:8080 server 99889 times
Average letency is 6.544805ms, errRate is 0.0%
Hint 10.108.18.135:8080 server 99844 times
Average letency is 6.566673ms, errRate is 0.0%
Finally weights: [0.3731410046372803 100 138.46120114254936 161.16565785281327]
Next request lists will come 2s latter.
